r;l;t;f;y;ProductionByTechnology
RE1;S101;MINBIO;BIO;2020;12.1929
RE1;S101;MINCOA;COA;2020;30.5799
RE1;S101;IMPLFO;LFO;2020;65.587
RE1;S101;MINWND;WND;2020;0.101
RE1;S101;MINHYD;HYD;2020;0.0818
RE1;S101;PWRBIO001;ELC001;2020;0.9729
RE1;S101;PWRCOA001;ELC001;2020;6.7606
RE1;S101;PWRHYD001;ELC001;2020;0.0786
RE1;S101;PWRHYD002;ELC001;2020;0.0032
RE1;S101;PWRWND001;ELC001;2020;0.101
RE1;S101;PWRTRNIMP;ELC001;2020;0.6023
RE1;S101;PWRTRN;ELC002;2020;7.9713
RE1;S101;PWRDIST;ELC003;2020;7.9713
RE1;S101;DEMTRAMCYGSL;TRAMCY;2020;2.7212
RE1;S101;DEMTRACARGSL;TRACAR;2020;7.56
RE1;S101;DEMTRABUSGSL;TRABUS;2020;3.5453
RE1;S101;DEMINDELC;INDELC;2020;3.9215
RE1;S101;DEMINDHEBIO;INDHEL;2020;4.4439
RE1;S101;DEMRESELC;RESELC;2020;1.9576
RE1;S101;DEMRESCKNELC;RESCKN;2020;0.0657
RE1;S101;DEMRESCKNBIO;RESCKN;2020;0.7637
RE1;S101;DEMRESHEBIO;RESHEL;2020;0.9243
RE1;S101;DEMCOMELC;COMELC;2020;2.0233
RE1;S101;DEMCOMHEBIO;COMHEL;2020;0.4466
RE1;S101;DEMINDHECOA;INDHEH;2020;6.5344
RE1;S102;MINBIO;BIO;2020;12.1929
RE1;S102;MINCOA;COA;2020;30.5799
RE1;S102;IMPLFO;LFO;2020;65.587
RE1;S102;MINWND;WND;2020;0.101
RE1;S102;MINHYD;HYD;2020;0.0818
RE1;S102;PWRBIO001;ELC001;2020;0.9729
RE1;S102;PWRCOA001;ELC001;2020;6.7606
RE1;S102;PWRHYD001;ELC001;2020;0.0786
RE1;S102;PWRHYD002;ELC001;2020;0.0032
RE1;S102;PWRWND001;ELC001;2020;0.101
RE1;S102;PWRTRNIMP;ELC001;2020;0.6023
RE1;S102;PWRTRN;ELC002;2020;7.9713
RE1;S102;PWRDIST;ELC003;2020;7.9713
RE1;S102;DEMTRAMCYGSL;TRAMCY;2020;2.7212
RE1;S102;DEMTRACARGSL;TRACAR;2020;5.1149
RE1;S102;DEMTRABUSGSL;TRABUS;2020;5.5034
RE1;S102;DEMINDELC;INDELC;2020;3.9215
RE1;S102;DEMINDHEBIO;INDHEL;2020;4.4439
RE1;S102;DEMRESELC;RESELC;2020;1.9576
RE1;S102;DEMRESCKNELC;RESCKN;2020;0.0657
RE1;S102;DEMRESCKNOIL;RESCKN;2020;2.1962
