y,Capital costs,Fixed costs,Variable costs,Fuel costs
2015,0.0,1.4615630989458552,9.994908960229995e-05,3.906504852640462
2016,0.0,1.4613556740289415,0.00010001580709594907,4.252419578349131
2017,0.0,1.43978833078951,9.997224920216456e-05,4.6285805468822625
2018,0.0,1.4229034363780484,0.00010004729266164432,5.060548030614906
2019,0.1276631925698318,1.4210996020002045,0.00010007398714154505,5.478216092343899
2020,2.298300336343592,2.0591803108174256,9.997552618697994e-05,3.801892688044751
2021,2.3168488606158113,2.0319638862351135,9.998635201129816e-05,3.8210648737339707
2022,2.3562296432485574,2.0019180544115023,9.999827191926407e-05,3.8583868359813374
2023,2.3933298152223568,1.973580794824296,9.995466781582822e-05,3.894469710639347
2024,2.4283265059310373,1.578532961830233,9.996843674833207e-05,3.929394641848776
2025,2.6751203051564936,1.5630885491413047,9.998252424099601e-05,3.9632760577456856
2026,2.7029518857817036,1.5346975911240563,9.99881640361666e-05,3.997862923354101
2027,2.7291883103693633,1.5233228068243807,9.994344712306007e-05,4.137227110404197
2028,2.7540112716143073,1.5100681932206197,9.995177765113323e-05,4.522623996547133
2029,2.8036593831779184,1.4975299833004405,9.996014877789587e-05,4.560297224009812
2030,2.825238944306581,1.465465903416132,9.996855753047146e-05,4.5970231008086655
2031,3.098477427335063,1.4226724002354538,0.00010002291630157854,4.881528454121995
2032,3.1137648878509396,1.4141521835082091,9.998732678113351e-05,4.954685884121966
2033,3.128198536468443,1.391553335289889,9.999702263224829e-05,5.0273570249921375
2034,3.1418584329494705,1.3784514172556364,0.0001000074570597642,5.099598953463528
2035,3.1793443447998926,1.37436082453413,9.997779168601482e-05,5.209658489263674
2036,3.2143792452668607,1.36778019629571,0.00010000791514959631,5.311964544883048
2037,3.319102136268174,1.3649644165399062,9.999844783162077e-05,5.386580302612155
2038,3.3339323144248194,1.3171758517396386,9.9989723172723e-05,5.461286134393979
2039,3.274799175806661,1.2927226665471843,9.995444735682654e-05,5.585673676057724
2040,3.217873912412542,1.258583268905931,9.995712982335288e-05,5.705574321454819
2041,3.22253284647047,1.248932257182336,9.99985606540388e-05,5.730003555644444
2042,3.2730680650875335,1.2480439608608351,9.996889228245806e-05,5.745704995887711
2043,3.2832601016610283,1.2471733965095597,9.997498888394842e-05,5.761216041926692
2044,3.36056043628871,1.2450963800704113,9.998258500056342e-05,5.723839791740219
2045,3.4351477463035476,1.2432549893899916,9.998925568777028e-05,5.688267745365476
2046,3.462034565288582,1.2396798680306158,9.99727829740907e-05,5.729413156623529
2047,3.497256480866211,1.2246299851344302,0.00010002264292113372,5.785004900748566
2048,3.513113470094558,1.2212117632934107,9.997436554729556e-05,5.814119823667986
2049,3.4525054872971905,1.2208741219470713,9.99913357956788e-05,5.82825129033104
2050,2.343516130099656,1.2133153904015894,0.00010000856944263712,5.862694993770243
2051,2.5785432440871956,1.178455677931532,0.00010000313784555524,5.989651564223176
2052,2.536223906628896,1.1789466042910148,9.99851092607989e-05,5.991568356779942
2053,2.4950704651386184,1.1794310942900872,9.998558490033647e-05,5.99345924603803
2054,2.4550644411957965,1.1799108818722388,0.00010000394193828137,5.995332765522136
2055,2.295297862500703,1.1804182955199538,0.00010000959324635456,5.997197507249111
2056,2.2547647208407025,1.1810247723716032,0.0001000023711291317,5.999025687523087
2057,2.215396211455579,1.1816230194661532,9.998271107868218e-05,6.000826837432164
2058,2.1771796488499375,1.1822181951977007,0.00010000927084781901,6.002626606835624
2059,2.1242852411656687,1.1828051019560555,9.999398489348964e-05,6.004398654409549
2060,2.0884637258253993,1.1833821742811914,9.999461937760357e-05,6.006134978231211
2061,1.889867345326237,1.1839578340239667,0.00010001119946242579,6.007878110145692
2062,1.8498994447459778,1.1845238022737905,0.00010001467140211543,6.009585384680766
2063,1.8111396505125372,1.1850850760443268,0.00010000574745675039,6.011282445064557
2064,1.7735574193450991,1.1856370042050233,9.998430557585008e-05,6.012945113376755
2065,1.7208694958336919,1.1861844439153197,0.0001000045480934125,6.014598858688477
2066,1.680656124396534,1.1867228400025396,0.00010001163848741985,6.016219207040942
2067,1.5937605119970766,1.187260176528277,0.00010000653808434128,6.017846979239375
2068,1.5674650686919047,1.1877887899716346,9.998888150528903e-05,6.019443268126965
2069,1.591699248527949,1.188307372156222,0.00010000997031912691,6.021001791524547
2070,1.61569105482624,1.1888238669251594,9.999317538995063e-05,6.022561556666633
